conversation_id	turn_id	id	query	original
81	1	81_1	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?
81	2	81_2	Now it stopped working. Why?	Why did garage door opener stop working?
81	3	81_3	How much does it cost for someone to fix it?	How much does garage door opener cost for someone to fix?
81	4	81_4	How about replacing it instead?	How about replacing garage door opener instead?
81	5	81_5	How do I choose a new one?	How do I choose a new garage door opener?
81	6	81_6	What does a smart one do?	What does a smart garage door opener do?
81	7	81_7	What's important for me to know about their safety?	What's important for me to know about smart garage door opener safety?
81	8	81_8	How could they be hacked?	How could a smart garage door opener be hacked?
82	1	82_1	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.
82	2	82_2	What are the pros and cons?	What are the pros and cons of GMO Food labeling?
82	3	82_3	And what about the cons?	What about the GMO Food labeling pros and cons?
82	4	82_4	What are the EU rules?	What are the EU rules on GMO food labeling?
82	5	82_5	Tell me more about traceability tools.	Tell me more about traceability tools.
82	6	82_6	What is the role of Co-Extra?	What is the role of Co-Extra in GMO Food labeling?
82	7	82_7	How is testing done for contamination?	How is testing done for GMO contamination?
82	8	82_8	What's the difference between the European and US approaches?	What's the difference between the European and US approaches to GMO food labeling?
82	9	82_9	How does the DNA-based method work?	How does the DNA-based method work?
82	10	82_10	How could Co-Extra improve it?	How could Co-Extra improve GMO testing?
83	1	83_1	What are some interesting facts about bees?	What are some interesting facts about bees?
83	2	83_2	Why doesn't it spoil?	Why does bees spoil?
83	3	83_3	Why are so many dying?	Why are so many bees dying?
83	4	83_4	What can be done to stop it?	What can be done to stop bees dying?
83	5	83_5	What has happened to their habitat?	What has happened to bees' habitat?
83	6	83_6	What can I do to help with the problem?	What can I do to help with the problem of bees dying?
83	7	83_7	What is the cause of CCD?	What is the cause of CCD?
83	8	83_8	What would happen if they died out?	What would happen if bees died out?
84	1	84_1	How does seed investment work for startups?	How does seed investment work for startups?
84	2	84_2	Tell me more about angel rounds.	Tell me more about angel rounds.
84	3	84_3	How does it compare with crowdfunding?	How does angel rounds compare with crowdfunding?
84	4	84_4	How much is a typical A series round?	How much angel is a typical A series round?
84	5	84_5	What are the risks of investing?	What are the risks of investing in angel rounds?
84	6	84_6	What are the different types of instruments used by VCs?	What are the different types of angel rounds used by VCs?
85	1	85_1	How much does a used Lamborghini cost?	How much does a used Lamborghini cost?
85	2	85_2	How does it compare to a Ferrari?	How does a Lamborghini compare to a Ferrari?
85	3	85_3	Interesting. What about for a pimped-out food truck?	What about for a pimped-out food truck?
85	4	85_4	What licenses and permits are needed?	What licenses and permits are needed for a pimped-out food truck?
85	5	85_5	What makes a good location?	What makes a good food truck location?
85	6	85_6	What is a typical day like?	What is a typical day like in Lamborghini?
85	7	85_7	How can I run it successfully?	How can I run Lamborghini food truck successfully?
85	8	85_8	What are some good examples to learn from?	What are some good examples of Lamborghini food trucks to learn from?
85	9	85_9	Besides inventive flavors, what made it successful?	Besides inventive flavors, what made Lamborghini successful?
86	1	86_1	What is the climate like in Utah?	What is the climate like in Utah?
86	2	86_2	How does Salt Lake City differ?	How does Salt Lake City differ from Utah?
86	3	86_3	What is its main economic activity?	What is Salt Lake City's main economic activity?
86	4	86_4	What was the impact of the 2002 games?	What was the impact of the 2002 games in Salt Lake City?
86	5	86_5	What were important ski locations used?	What were important ski locations in Salt Lake City used?
86	6	86_6	What are the important non-ski events that happen in the city?	What are the important non-ski events that happen in the city of Salt Lake?
86	7	86_7	What about some popular non-winter things to do in the area?	What about some popular non-winter things to do in the Salt Lake City area?
87	1	87_1	What are the different types of orange trees?	What are the different types of orange trees?
87	2	87_2	How can you tell them apart?	How can you tell orange trees apart?
87	3	87_3	What type has thorns?	What type of orange tree has thorns?
87	4	87_4	Where do they originally come from?	Where do orange trees originally come from?
87	5	87_5	Tell me about the Hamlin variety.	Tell me about the Hamlin variety.
87	6	87_6	Why did it replace PB?	Why did the Hamlin variety replace PB?
87	7	87_7	What are the different types of navels?	What are the different types of navels?
87	8	87_8	Which is the most delicious?	Which is the most delicious orange?
87	9	87_9	How do they compare with blood oranges?	How do orange trees compare with blood oranges?
88	1	88_1	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?
88	2	88_2	What was the role of slavery?	What was the role of slavery in the Ottoman Empire?
88	3	88_3	How did it govern?	How did it govern?
88	4	88_4	Why was it important?	Why was it important?
88	5	88_5	What was the culture like?	What was the culture like in the Ottoman Empire?
88	6	88_6	What was the role of storytellers?	What was the role of storytellers in Ottoman history?
88	7	88_7	What were popular stories?	What were popular stories in the Ottoman Empire?
88	8	88_8	What was the importance of the millet?	What was the importance of the millet?
88	9	88_9	Why did the British continue it?	Why did the British continue slavery?
88	10	88_10	What is its historical importance in developing national identities?	What is the importance of the millet in developing national identities?
89	1	89_1	What is the relationship between predator and prey?	What is the relationship between predator and prey?
89	2	89_2	What do predator plants eat?	What do predator plants eat?
89	3	89_3	What about Venus flytraps in particular?	What about Venus flytraps in particular?
89	4	89_4	Where is it native to?	Where is Venus flytraps native to?
89	5	89_5	How do they attract and catch their prey?	How do Venus flytraps attract and catch their prey?
89	6	89_6	What are other similar plants from its native area?	What are other similar plants from Venus flytraps native area?
89	7	89_7	How do populations of predators and prey relate?	How do populations of predators and prey relate to Venus flytraps?
89	8	89_8	Why would the roles reverse?	Why would the roles reverse in Venus flytraps?
89	9	89_9	How does the relationship influence biodiversity?	How does the relationship influence biodiversity?
89	10	89_10	What are examples of these predators?	What are examples of predator plants?
89	11	89_11	Why would humans be considered one?	Why would humans be considered one predator?
90	1	90_1	Which is the biggest commercial plane?	Which is the biggest commercial plane?
90	2	90_2	What are its operational costs?	What are the operational costs of a commercial plane?
90	3	90_3	How does its fuel consumption compare to its competitors?	How does the Boeing 737 fuel consumption compare to its competitors?
90	4	90_4	How do the freighter versions compare to each other?	How do the freighter versions of the Airbus jet compare to each other?
90	5	90_5	Why did the A380 stop being produced?	Why did the A380 stop being produced?
90	6	90_6	What was Boeing's response to compete with it?	What was Boeing's response to compete with the A380?
90	7	90_7	What is the newest version and what is better about it?	What is the newest version of the A380 and what is better about it?
90	8	90_8	What are the differences between the variants?	What are the differences between the A380 and the newer version?
91	1	91_1	What is the purpose of GDPR?	What is the purpose of GDPR?
