	Unnamed: 0	conversation_id	turn_id	id	query
0	0	81	1	81_1	How do you know when your garage door opener is going bad?
1	1	81	2	81_2	Now the garage door opener stopped working. Why? light
2	2	81	3	81_3	How much does it cost for someone to fix the garage door opener?
3	3	81	4	81_4	How about replacing the garage door opener instead? openers
4	4	81	5	81_5	how do I choose a new garage door opener?
5	5	81	6	81_6	What does a smart garage door opener do? openers
6	6	81	7	81_7	What's important for me to know about the safety of LiftMaster Model 3240? door opener garage liftmaster.com
7	7	81	8	81_8	How could the garage door openers be hacked?
8	8	82	1	82_1	I would like to learn about GMO Food labeling.
9	9	82	2	82_2	what are the pros and cons of GMO Food labeling? autoplay labeled
10	10	82	3	82_3	what about the cons of GMO Food labeling?
11	11	82	4	82_4	What are the EU rules regarding GMO Food labeling?
12	12	82	5	82_5	Tell me more about traceability tools. gm gmo
13	13	82	6	82_6	What is the role of Co-Extra?
14	14	82	7	82_7	How is testing done for contamination? food gm gmos gmo
15	15	82	8	82_8	What's the difference between the European and US approaches to GMO Food labeling?
16	16	82	9	82_9	How does the DNA-based method work?
17	17	82	10	82_10	How could Co-Extra improve GMO Food labeling? based method dna
18	18	83	1	83_1	Besides some interesting facts about bees, what are some interesting facts about bees?
19	19	83	2	83_2	Honey doesn't it spoil? bees honeybees
20	20	83	3	83_3	Why are so many bees dying?
21	21	83	4	83_4	What can be done to stop bees dying? beekeeping beekeepers
22	22	83	5	83_5	What has happened to bee habitat? bees beeas
23	23	83	6	83_6	What can I do to help with the problem of honey bees? bee
24	24	83	7	83_7	Honey Bees Dying Along Central Coast?
25	25	83	8	83_8	What would happen if bees died out?
26	26	84	1	84_1	How does seed investment work for startups?
27	27	84	2	84_2	Tell me more about angel rounds for startups? seed
28	28	84	3	84_3	How does Tell Me More compare with crowdfunding?
29	29	84	4	84_4	how much is a typical A series round?
30	30	84	5	84_5	What are the risks of investing? opengov
31	31	84	6	84_6	what are the different types of instruments used by VCs?
32	32	85	1	85_1	a used Lamborghini cost?
33	33	85	2	85_2	how does a used Lamborghini compare to a Ferrari?
34	34	85	3	85_3	Interesting. What about for a pimped-out food truck?
35	35	85	4	85_4	what licenses and permits are needed for a used Lamborghini? food trucks truck
36	36	85	5	85_5	What makes a good location for a used Lamborghini? food truck
37	37	85	6	85_6	what is a typical day like for a used Lamborghini?
38	38	85	7	85_7	How can I run the Lamborghini successfully?
39	39	85	8	85_8	what are some good examples to learn from? food truck
40	40	85	9	85_9	Besides inventive flavors, what made Kogi Korean BBQ successful? food trucks truck
41	41	86	1	86_1	What is the climate like in Utah?
42	42	86	2	86_2	How does Salt Lake City differ? climate
