	Unnamed: 0	id	unresolved_query	resolved_query	query
0	0	81_1	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?	 How do you know when your garage door opener is going bad?
1	1	81_2	Now it stopped working. Why?	Now my garage door opener stopped working. Why?	 Now your garage Door opener stopped working. Why? light
2	2	81_3	How much does it cost for someone to fix it?	How much does it cost for someone to repair a garage door opener?	 How much does it cost for someone to fix an opener that goes bad? door garage
3	3	81_4	How about replacing it instead?	How much does it cost to replace a garage door opener?	 How about replacing an opener instead of replacing it instead of fixing it? door garage openers
4	4	81_5	How do I choose a new one?	How do I choose a new garage door opener?	 How do I choose a new opener when the old one stops working? door garage
5	5	81_6	What does a smart one do?	What does a smart garage door opener do?	 What does a smart opener do? door garage openers
6	6	81_7	What's important for me to know about their safety?	What's important for me to know about the safety of smart garage door openers?	 What's important for me to know about smart garage door openers' safety? opener liftmaster 3240 model liftmaster.com
7	7	81_8	How could they be hacked?	How could smart garage door openers be hacked?	 How could smart garage Door openers be hacked?
8	8	82_1	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.	 I would like to learn about GMO Food labeling.
9	9	82_2	What are the pros and cons?	What are the pros and cons of GMO food labeling?	 Where do the best places to get GMO food labeling in the U. autoplay labeled
10	10	82_3	And what about the cons?	What are the cons of GMO food labeling?	 And what about the cons of GMO foodlabeling? food labeling
11	11	82_4	What are the EU rules?	What are the GMO food labeling rules in the EU?	 What are the EU rules for GMO food labels? labeling
12	12	82_5	Tell me more about traceability tools.	Tell me about traceability tools for GMO foods in the EU.	 Tell me more about traceability tools. gm gmo
13	13	82_6	What is the role of Co-Extra?	What is the role of Co-Extra in GMO food traceability in the EU?	 What is the role of Co-Extra?
14	14	82_7	How is testing done for contamination?	How is food tested for GMO contamination?	 How is testing done for contamination in GMO food? gm gmos
15	15	82_8	What's the difference between the European and US approaches?	What's the difference between the European Union and United States approaches to testing for GMO food contamination?	 What's the difference between the European and US approaches to food labeling? gmo
16	16	82_9	How does the DNA-based method work?	How does the DNA-based method work for testing GMO contamination.	 How does the DNA-based method work?
17	17	82_10	How could Co-Extra improve it?	How could Co-Extra improve DNA-based testing for GMO contamination?	 How could Co- extra improve the DNA labeling method? based
18	18	83_1	What are some interesting facts about bees?	What are some interesting facts about bees?	 What are some interesting facts about bee sw ?
19	19	83_2	Why doesn't it spoil?	Why doesn't honey spoil?	 Why doesn't bee sw spoil? bees honeybees honey
20	20	83_3	Why are so many dying?	Why are so many bees dying?	 Why are so many bee sw sw members dying? bees
21	21	83_4	What can be done to stop it?	What can be done to stop bees from dying?	 What can be done to stop bee swsp spoil being a problem? beekeeping bees dying beekeepers
22	22	83_5	What has happened to their habitat?	What has happened to bee habitat?	 What has happened to beeswsp spoil's habitat? bees beeas bee
23	23	83_6	What can I do to help with the problem?	What can I do to help provide a habitat for bees?	 What can I do to help with the problem of beeswsp spoil? bees honey bee
24	24	83_7	What is the cause of CCD?	What is the cause of colony collapse disorder?	 What is the cause of CCD?
25	25	83_8	What would happen if they died out?	What would happen if the bees died out?	 What would happen if bees swspsp spoil died out?
26	26	84_1	How does seed investment work for startups?	How does seed investment work for startups?	 How does seed investment work for startups?
27	27	84_2	Tell me more about angel rounds.	Tell me more about angel investment rounds.	 Tell me more about angel rounds. seed
28	28	84_3	How does it compare with crowdfunding?	How does an angel investment round compare with crowdfunding?	 How does seed investment work for startups?
29	29	84_4	How much is a typical A series round?	How much is a typical A series investment round?	 How much is a typical A series round in a start-up startup?
30	30	84_5	What are the risks of investing?	What are the risks of investing in startups?	 What are the risks of investing in start-up start-ups? opengov
31	31	84_6	What are the different types of instruments used by VCs?	What are the different types of instruments used by Venture Capitalists?	 What were the different types of instruments used by VCs?
32	32	85_1	How much does a used Lamborghini cost?	How much does a Lamborghini cost?	 How much does a used Lamborghini cost?
33	33	85_2	How does it compare to a Ferrari?	How does a Lamborghini compare to a Ferrari?	 How does a Lamborghinis compare to a Ferrari? lamborghini
34	34	85_3	Interesting. What about for a pimped-out food truck?	Interesting. How much does a pimped-out food truck cost?	 Interesting. What about for a pimped-out food truck?
35	35	85_4	What licenses and permits are needed?	What licenses and permits are needed for a food truck?	 What licenses and permits are needed to run a food truck in the U. trucks
36	36	85_5	What makes a good location?	What makes a good food truck location?	 What makes a good location for a food Truck?
37	37	85_6	What is a typical day like?	What is a typical day like running a food truck?	 What is a typical day for a Food Truck?
38	38	85_7	How can I run it successfully?	How can I run a successful food truck?	 How can I run aFood Truck successfully? lamborghini
39	39	85_8	What are some good examples to learn from?	What are some good examples of successful food trucks to learn from?	 What are some good examples of food trucks to learn from? truck
40	40	85_9	Besides inventive flavors, what made it successful?	Besides inventive flavors, what made Kogi successful?	 Besides inventive flavors, what made the first food truck successful? kogi trucks
41	41	86_1	What is the climate like in Utah?	What is the climate like in Utah?	 What is the climate like in Utah?
42	42	86_2	How does Salt Lake City differ?	How does the climate of Salt Lake City differ from Utah overall?	 How does Salt Lake City differ from Salt Lake city? climate
43	43	86_3	What is its main economic activity?	What is the main economic activity of Salt Lake City?	 What is the main economic activity of Salt LakeCity, the main American city in Salt Lake, the U. great utah
44	44	86_4	What was the impact of the 2002 games?	What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?	 What was the impact of the 2002 games on Salt Lake?
45	45	86_5	What were important ski locations used?	What were important ski locations used in the 2002 olympic winter games?	 What were important ski locations used in the 2002 Salt Lake games? utah olympics
46	46	86_6	What are the important non-ski events that happen in the city?	What are the important non-ski events that happen in Salt Lake City?	 What are the important non-ski events that happen in the city? utah lake salt park
