	conversation_id	turn_id	id	query
0	81	1	81_1	How do you know when your garage door opener is going bad?
1	81	2	81_2	Now the garage door opener stopped working. Why?
2	81	3	81_3	how much does it cost for someone to fix the garage door opener?
3	81	4	81_4	how about replacing the garage door opener instead?
4	81	5	81_5	how do I choose a new garage door opener?
5	81	6	81_6	what does a smart garage door opener do?
6	81	7	81_7	What's important for me to know about the safety of a garage door opener?
7	81	8	81_8	How could the garage door openers be hacked?
8	82	1	82_1	I would like to learn about GMO Food labeling.
9	82	2	82_2	what are the pros and cons of GMO Food labeling?
10	82	3	82_3	what about the cons of GMO Food labeling?
11	82	4	82_4	what are the EU rules regarding GMO Food labeling?
12	82	5	82_5	Tell me more about traceability tools.
13	82	6	82_6	What is the role of Co-Extra?
14	82	7	82_7	How is testing done for contamination?
15	82	8	82_8	What's the difference between the European and US approaches to GMO food labeling?
16	82	9	82_9	How does the DNA-based method work?
17	82	10	82_10	How could Co-Extra improve GMO Food labeling?
18	83	1	83_1	Besides some interesting facts about bees, what are some interesting facts about bees?
19	83	2	83_2	Honey doesn't it spoil?
20	83	3	83_3	Why are so many bees dying?
21	83	4	83_4	What can be done to stop bees dying?
22	83	5	83_5	What has happened to bee habitat?
23	83	6	83_6	What can I do to help with the problem of honey bees?
24	83	7	83_7	What is the cause of CCD?
25	83	8	83_8	What would happen if bees died out?
26	84	1	84_1	How does seed investment work for startups?
27	84	2	84_2	Tell me more about angel rounds for startups?
28	84	3	84_3	How does Tell Me More compare with crowdfunding?
29	84	4	84_4	how much is a typical A series round?
30	84	5	84_5	What are the risks of investing?
31	84	6	84_6	What are the different types of instruments used by VCs?
32	85	1	85_1	a used Lamborghini cost?
33	85	2	85_2	how does a used Lamborghini compare to a Ferrari?
34	85	3	85_3	Interesting. What about for a pimped-out food truck?
35	85	4	85_4	What licenses and permits are needed for a used Lamborghini?
36	85	5	85_5	What makes a good location for a Lamborghini?
37	85	6	85_6	what is a typical day like for a used Lamborghini?
38	85	7	85_7	How can I run the Lamborghini successfully?
39	85	8	85_8	what are some good examples to learn from?
40	85	9	85_9	Besides inventive flavors, what made the Lamborghini successful?
41	86	1	86_1	What is the climate like in Utah?
42	86	2	86_2	How does Salt Lake City differ?
43	86	3	86_3	What is Utah's main economic activity?
44	86	4	86_4	What was the impact of the 2002 Olympics?
45	86	5	86_5	What were important ski locations used in Utah?
46	86	6	86_6	What are the important non-ski events that happen in Salt Lake City?
47	86	7	86_7	What about some popular non-winter things to do in Utah?
48	87	1	87_1	What are the different types of orange trees?
49	87	2	87_2	How can you tell the different types of orange trees apart?
50	87	3	87_3	What type of orange tree has thorns?
51	87	4	87_4	Where do the orange trees originally come from?
52	87	5	87_5	Tell me about the Hamlin variety?
53	87	6	87_6	Why did the Hamlin orange replace PB?
54	87	7	87_7	What are the different types of navels?
55	87	8	87_8	Which is the most delicious orange?
56	87	9	87_9	How do Washington navels compare with blood oranges?
57	88	1	88_1	Can I have some information on the labor systems of the Ottoman Empire?
58	88	2	88_2	What was the role of slavery in Ottoman Empire?
59	88	3	88_3	how did the Ottoman Empire govern?
60	88	4	88_4	Why was the expansion of the Ottoman Empire important?
61	88	5	88_5	What was the culture of the Ottoman Empire like?
62	88	6	88_6	What was the role of storytellers?
